Water Source Type,Contaminant Level (ppm),pH Level,Turbidity (NTU),Dissolved Oxygen (mg/L),Nitrate Level (mg/L),Lead Concentration (µg/L),Bacteria Count (CFU/mL),Water Treatment Method,Access to Clean Water (% of Population),"Diarrheal Cases per 100,000 people","Cholera Cases per 100,000 people","Typhoid Cases per 100,000 people"
Lake,2.97,7.44,4.28,5.15,48.04,2.72,1837,Chlorination,54.46,88,41,14
Well,0.54,7.71,0.89,5.6,44.62,16.05,1376,None,40.43,245,9,29
Spring,5.97,6.3,2.66,3.58,6.43,12.2,409,None,56.45,399,6,28
Spring,0.87,6.31,1.78,9,15.54,19.62,3007,None,74.49,178,16,31
Tap,7.02,7.41,0.62,7.15,12.15,13.02,2952,None,65.43,379,11,29
Lake,0.53,6.68,0.25,3.59,28.6,14.32,4242,Filtration,87.93,463,36,15
Tap,0.59,6.98,2.78,8.63,40.14,3.9,1679,None,74.89,230,36,35
Tap,3.05,7,0.1,6.11,37.97,15.38,1714,Filtration,48.45,98,35,81
Spring,8.97,6.45,0.52,8.36,36.34,1.59,1197,None,69.02,214,6,47
Tap,6.41,6,1.74,3.09,18.76,13.13,2337,Chlorination,34.49,199,23,27
Well,7.7,8.13,0.22,3.2,6.98,1.11,3216,Filtration,70.66,255,33,61
Tap,1.42,7.79,2,4.2,10.53,2.3,2956,Filtration,57.28,436,0,82
Well,8.34,7.73,0.65,4.48,37.08,2.16,3193,Chlorination,36.89,493,28,55
Spring,0.08,7.37,1.75,8.35,7.38,1.05,26,None,51.52,435,25,55
Lake,2.13,7.75,3.96,7.95,11.15,6.42,3137,None,92.87,194,9,74
Pond,6.16,8.34,3.13,7.31,21.23,19.89,2973,Boiling,71.02,379,0,16
Well,3.75,7.66,2.23,9.19,3.61,6.96,3165,Boiling,93.23,23,44,61
Lake,9.84,6.66,0.46,4.73,10.63,15.22,1090,Filtration,58.76,362,16,20
Lake,0.3,7.43,3.1,9.33,7.49,2.65,249,Boiling,98.52,469,40,36
Well,9.99,7.11,0.82,9.37,47.57,9.09,141,Chlorination,55.2,269,35,33
Spring,6.24,7.39,0.38,6.04,9.58,3.7,266,Chlorination,82.98,277,8,96
River,5.59,7.29,3.32,3.66,43.09,3.84,4310,Chlorination,51.38,225,38,28
Lake,0.6,8.15,4.56,8.09,5.74,1.99,488,Filtration,37.42,227,22,67
Lake,2.73,7.63,2.3,5.36,43.48,8.64,495,Chlorination,88.31,127,28,95
Spring,9.25,6.47,0.2,8.56,29.97,1.51,479,Filtration,83.38,30,1,59
Spring,3.54,6.16,4.4,4.15,42.49,18.2,2690,Filtration,87.44,340,17,10
Tap,6.62,7.06,0.33,6.78,43.37,8.96,4096,Chlorination,50.98,250,27,89
Spring,9.99,6.04,4.34,6.56,29.82,16.77,3080,Chlorination,79.26,57,46,81
Lake,2.63,6.8,1.96,3.7,45.88,19.59,4936,Filtration,45.39,324,41,95
Well,5.76,6.92,1.83,5.54,29.27,13.56,2427,Chlorination,30.79,146,48,59
River,6.96,6.94,2.71,3.59,35.63,18.03,843,Boiling,90.65,105,6,90
Tap,1.65,8.45,4.79,6.25,20.8,2.71,3215,Filtration,66.65,436,10,79
Well,1.49,6.76,4.49,8.9,45.7,16.6,3911,None,98.86,84,6,73
River,4.56,6.66,2.35,4.89,41.21,5.42,4077,Filtration,56.95,1,42,33
River,3.86,6.32,3.48,8.35,8.34,9.45,2349,Chlorination,96.98,436,23,32
River,7.14,7.28,2.9,4.28,28.82,12.93,649,Chlorination,73.05,450,14,9
Pond,0.7,6.38,3.47,7.72,44.84,18.07,1893,Filtration,65.85,302,30,59
Well,9.72,7.54,4.15,9.41,39.65,18.22,2856,Filtration,51.2,370,18,25
Tap,0.14,6.39,0.17,5.27,48.13,1.84,3250,None,87.77,52,9,24
Tap,6.01,7.44,1.63,9.3,11.57,7.29,2386,None,88.02,440,47,1
River,5.63,8.07,4.8,6.54,18.37,15.86,1725,Filtration,59.19,221,7,89
Well,1.35,6.11,4.75,5.22,25.36,14.06,1354,Chlorination,80.91,481,0,83
Pond,1.51,7.05,0.06,9.28,11.63,0.53,1293,Filtration,61.31,24,1,2
River,7.93,7.15,1.01,3.22,19.7,9,3046,Boiling,81.78,34,28,31
Spring,8.88,7.98,4.97,3.2,26.88,16.59,3258,Boiling,99.59,156,41,0
Tap,2.83,7.17,2.46,7.2,9.57,14.75,2713,Chlorination,48.37,459,9,23
Lake,4.38,7.42,2.86,8.58,12.83,8.24,403,Filtration,74.38,342,41,49
River,3.55,7.98,0.83,8.26,6.24,14.7,3972,Filtration,56.59,475,8,42
Spring,0.73,7.4,4.47,3.56,35.67,11.02,4032,Boiling,68.39,365,49,43
Tap,6.73,6.9,1.16,9.65,18.08,18.25,1546,Filtration,91.19,144,30,32
Pond,8.25,6.21,0.95,7.92,11.01,11.74,2606,Chlorination,54.33,335,31,37
Well,3.05,7.82,1.14,9.64,25.37,8.01,2825,Chlorination,35.07,432,1,51
Tap,9.9,8.18,4.6,5.3,3.41,17.26,1852,None,85.93,439,23,34
Well,0.76,8.43,3.51,7.86,46.17,1,4206,Chlorination,68.85,456,36,16
Well,6.62,8.32,3.84,9.02,14.72,18.01,812,Filtration,61.46,386,42,57
Pond,4.48,7.99,1.89,5.66,44.32,13.93,3374,Filtration,42.83,277,5,47
Pond,4.47,7.61,4.55,9.75,24.88,18.81,929,Boiling,36.5,478,7,42
River,4.58,7.95,3.95,4.85,42.51,5.01,4981,Boiling,49.51,397,39,47
River,2.59,7.08,3.75,5.21,12.35,13.9,4075,Chlorination,80.32,386,24,43
Tap,7.16,7.49,4.85,9.44,8.76,16.19,3323,None,58.82,293,41,32
Pond,7.22,6.87,1.83,9.79,42.47,14.04,174,Filtration,69.92,342,42,74
Spring,2.82,6.82,3.05,5,10.65,4.21,1363,None,35.74,276,24,86
Tap,8.35,7.89,4.55,3.95,37.31,5.51,2895,Filtration,38.63,178,45,95
Lake,3.17,7.13,3.95,8.31,17.23,11.33,1037,Chlorination,30.79,279,10,82
Well,7.25,6.53,2.82,9.51,37.41,8.94,3011,Chlorination,77.13,351,34,75
Well,1.21,6.5,0.38,7.2,45.38,14.7,2090,Boiling,48.51,300,0,91
River,1.69,8.15,3.26,7.44,49.08,7.57,460,None,97.68,196,22,1
Spring,3.16,7.69,2.63,8.34,17.99,17.19,2752,Boiling,51.59,224,2,9
Pond,5.94,7.37,0.92,4.07,18.38,8.64,148,Chlorination,55.45,427,40,82
Pond,6.46,7,4.41,9.81,49.07,0.8,4433,None,62.86,46,0,27
River,3.96,7.08,1.72,5.55,43.08,0.35,1133,Filtration,52.34,184,43,46
Lake,0.78,6.14,1.94,7.4,2.25,12.93,353,Boiling,87.22,402,11,7
Tap,3.74,7.14,3.36,6.28,28.67,10.81,1107,Chlorination,91.33,161,37,22
Tap,6.89,7.99,2.44,6.28,9.06,10.85,2602,Filtration,30.77,130,39,47
Spring,6.71,6.97,0.45,7.92,49.7,15.8,2113,Chlorination,75.83,294,30,93
River,1.6,6.96,1.94,9.96,6.95,7.51,4094,Filtration,78.03,91,28,91
River,0.08,6.04,0.47,7.61,27.97,19.91,3685,Boiling,97.3,74,34,62
Lake,7.53,7.14,0.95,8.56,33.26,18.91,3206,Filtration,55.93,443,27,76
Tap,1.06,6.06,0.04,3.19,46.85,0.26,1109,None,43.67,137,20,36
River,0.82,7.43,0.91,8.67,42.36,17.91,4179,Filtration,66.44,167,10,11
Pond,0.03,7.27,1.65,5.1,12.29,13.61,1977,Chlorination,61.33,257,25,73
Spring,4.33,8.1,2.69,3.89,28.63,10.04,226,Filtration,85.42,237,10,80
Tap,5.03,7.45,4.6,3.79,47.68,11.65,2939,Boiling,93.28,44,4,64
Lake,6.38,6.81,2.7,7.76,36.79,16.84,1012,Chlorination,36.07,486,6,85
Spring,2.96,7.29,3.53,9.98,34.42,19.02,4115,Chlorination,89.26,410,30,14
Well,7.1,7.75,1.79,7.66,37.75,11.21,3106,Chlorination,93.63,308,38,79
Pond,1.69,6.23,3.76,4.84,16.13,3.63,3936,Chlorination,94.69,136,41,83
Lake,8.32,7.55,3.1,4.42,36.46,12.8,2802,None,83.5,102,7,9
Spring,5.72,8.29,2.3,6.68,11.64,1.52,1466,Chlorination,81.95,128,26,41
River,5.84,6.75,0.97,3.46,21.41,12.7,2988,Chlorination,31.04,160,20,25
Well,2.1,7.57,1.52,5.8,44.5,16.17,269,Chlorination,94.41,37,29,48
Lake,0.74,8.05,3.1,7.66,0.95,7.07,3806,Boiling,54.61,56,13,22
River,4.65,7.28,2.13,9.77,20.72,1.42,1531,Boiling,32.88,160,0,63
Pond,6.16,7.79,4.45,5.98,13.34,13.84,303,Chlorination,58.91,175,44,16
Well,0.95,6.78,1.17,4.4,9.93,6.79,4905,None,81.3,258,23,33
Tap,9.51,6.77,0.37,8.72,41.93,4.98,1932,Filtration,60.94,287,5,56
River,9.8,7.67,2.95,8.21,34.82,13.78,2040,None,83.06,460,5,85
Spring,5.45,7.76,4.43,9.02,5.63,19.39,4021,Chlorination,65.66,404,4,3
Lake,9.5,8.34,1.82,4.5,24.72,14.91,141,Chlorination,50.96,323,34,70
Well,1.79,6.56,3.24,5.83,23.35,9.83,808,None,44.2,144,43,68
River,0.25,7.17,1.16,9.87,7.13,12.01,947,Chlorination,59.48,425,14,94
Tap,0.39,6.63,2.79,4.11,39.99,2.85,3951,Filtration,32.51,67,34,82
Lake,5.88,6.2,3.93,7.7,18.33,16.26,3412,Boiling,59.58,339,47,67
Lake,0.62,7.01,4.34,4.66,38.1,12.09,2292,Filtration,34.8,267,49,49
River,9.59,6.94,0.53,6.5,9.6,19.32,765,Filtration,91.39,217,40,85
Tap,1.42,6.68,1.78,8.6,15.75,19.59,2923,Filtration,70.28,300,7,66
Pond,3.05,6.74,3.2,6.42,4.76,7.09,938,None,75.22,163,42,86
Pond,8.23,6.9,0.17,8.64,7.17,19.77,2496,None,50.22,335,34,67
Well,2.19,8.47,3.45,5.98,44.16,19.14,3562,Filtration,45.81,178,4,87
River,2.43,7.96,2.64,10,5.46,12.8,1262,None,79.55,390,30,58
Well,6.42,6.18,1.44,6.05,4.79,6.67,542,Chlorination,77.01,416,41,77
Pond,2.76,8.18,4.07,4.05,47.02,15.07,2679,Boiling,38.59,47,30,62
Lake,2.17,7.58,1.45,5.81,32.3,5.42,2954,None,46.7,193,36,66
Well,2.54,8.23,4.96,8.2,5.05,12.6,2931,None,96.26,288,7,84
Tap,4.91,6.85,4.08,8.94,48.59,0.49,2781,Filtration,51.29,205,5,25
Spring,9.66,7.16,3.54,6.22,7.36,12.57,4239,Boiling,31.81,83,22,0
Pond,8.32,8.24,0.31,7.16,38.32,19.03,2991,Chlorination,34.46,100,15,93
Pond,2.85,6.68,4.52,8.91,1.74,4.7,2612,Chlorination,84.28,154,43,67
Tap,3.63,8.29,3.95,8.69,31.23,15.56,3648,Boiling,83,46,48,77
Well,4.65,8.07,1.15,7.6,27.34,5.87,1199,Chlorination,56.73,233,7,17
River,9.79,8.45,1.96,8.71,10.4,14.16,2117,Boiling,40.72,340,3,11
Lake,1.72,6.81,1.34,7.03,32.16,14,2680,Filtration,64.87,449,31,37
Spring,3.57,6.59,4.92,3.03,30.85,3.69,2848,Chlorination,53.23,298,48,41
River,7.29,6.83,4.27,3.29,39.92,11.94,4688,Chlorination,56.18,335,2,35
River,9.64,8.39,4.65,9.86,43.79,17.18,4662,Boiling,48.27,146,49,15
Tap,1.56,6.83,3.94,4.01,25.51,7.65,4786,Chlorination,34.4,195,15,64
Well,2.27,7.41,2.28,5.83,24.51,14.21,3681,None,85.38,393,33,66
Pond,2.26,7.01,1.03,9.54,31.08,13.49,3495,Filtration,73.28,21,12,38
Pond,0.21,6.99,1.04,4.37,36.46,5.15,664,Chlorination,88.42,459,32,98
Tap,6.04,6.48,0.76,8.91,17.81,18.37,4501,Chlorination,65.22,193,21,58
Well,6.71,7.34,2.73,8.73,25.23,11.27,3162,Chlorination,98.95,385,30,78
Tap,6.03,8.12,4.6,9.9,29.26,7.11,3365,Boiling,97.38,488,23,37
Pond,0.71,6.12,4.96,4.97,49.42,3.29,1416,Filtration,49.02,363,2,15
River,0.69,8.22,1.44,5.21,29.39,9.47,3108,Filtration,57.09,353,32,80
Lake,2.1,7.66,3.49,9.32,11.21,14.6,516,Chlorination,82.69,273,29,97
Well,2.9,7.54,2.99,4.64,29.4,12.47,849,Chlorination,84.36,383,25,73
Spring,7.87,7.56,2.44,6.84,40.97,14.54,1901,Boiling,93.75,207,33,10
Spring,1.59,6.74,3.33,7.95,42.87,15.84,907,Filtration,75.68,274,21,27
River,0.44,7.04,1.86,4.9,40.01,8.82,315,None,63.26,494,29,90
Tap,3.94,8,4.72,9.57,44.41,10.4,3243,Chlorination,56.44,216,34,81
Tap,4.16,6.77,3.53,7.66,16.74,19.73,1507,None,59.34,413,24,93
Pond,4.51,7.18,3.77,3.33,25.38,19.36,4122,None,89.53,495,27,76
River,8.27,6.05,1.21,3.95,38.98,8.3,1518,Filtration,98.6,389,32,79
Pond,0.98,7.83,0.84,4.34,13.22,13.7,4150,None,33.63,26,22,1
Pond,7.04,7.04,1.97,4.71,18.58,5.35,1934,Chlorination,70.62,14,25,19
Spring,3.38,7.31,3.83,8.11,41.56,3.05,4344,Chlorination,66.4,158,8,75
Pond,3.1,6.29,4.69,3.62,38.5,15.37,1801,Boiling,56.33,427,7,92
Pond,9.33,8.48,2.14,5.45,48.56,8.72,2622,Filtration,89.61,213,36,71
Spring,2.48,6.76,3.87,9.38,49.8,3.54,856,Filtration,70.3,459,32,37
Tap,6.43,7.59,2.35,6.9,12.04,15.18,1876,None,51.92,393,14,55
Well,2.75,7.45,1.48,4.86,45.02,18.3,1525,Chlorination,61.09,404,48,83
Lake,5.07,7.96,3.7,9.7,4.73,18.67,1416,Chlorination,54.98,430,46,98
Pond,7.86,6.73,3.99,4.71,35.49,11.93,3479,Boiling,60.11,438,7,38
Well,8.82,7.89,1.01,9.34,11,9.59,3871,None,34.99,378,20,30
Spring,8.39,6.96,1.53,8.08,15.02,2.84,1794,Chlorination,37.83,350,2,79
Well,5.82,7.03,2.47,8.18,47.32,15.86,3065,Filtration,73.66,163,8,22
Lake,2.49,7.68,0.93,8.35,13.16,18.91,2720,Boiling,77.88,126,13,33
Well,6.61,7.96,4.64,6.55,33.66,17.79,4204,Filtration,74.56,329,37,95
Well,7.1,7.67,2.96,8.7,8.91,15.04,3676,Boiling,83.42,57,26,16
Well,0.11,8.25,0.61,8.85,4.67,0.09,352,Filtration,96.05,146,19,23
Well,4.39,6.71,0.92,5.52,16.97,8.16,3231,None,90.24,470,3,34
River,8.43,8.25,4.77,5.8,31.21,8.21,1427,Chlorination,59.3,447,23,22
Pond,4.9,6.33,3.69,9.22,12.4,17.89,2192,Filtration,45.23,255,26,7
Spring,3.11,7.65,3.67,6.67,15.01,1.31,1777,None,51.83,109,11,53
Lake,8.72,7.37,0.36,9.07,35.44,10.62,3536,Filtration,71.14,393,27,86
Spring,1.56,7.24,4.48,7.39,5.14,2.72,1116,None,89.93,48,34,20
River,2.06,6.78,2.22,7.15,22.35,13.25,2320,Boiling,79.12,181,23,18
River,6.87,7.26,3.3,3.22,47.09,15.85,533,None,68.01,60,30,30
River,3.52,6.4,4.8,4.95,19.85,12.84,1217,Filtration,72.13,442,2,49
Pond,7.13,6.92,0.5,6.51,21.71,15.89,2988,Chlorination,66.98,474,29,70
River,1.58,6.25,2.41,7.11,36.91,12.15,2228,Boiling,98.01,234,26,23
Well,2.52,7.43,0.25,7.41,38.95,3.8,1979,Boiling,87.13,241,16,45
Spring,1.57,6.24,2.5,8.01,38.48,7.65,2076,None,84.69,129,5,7
Tap,9.53,6.4,1.26,7.59,49.89,19.14,531,Filtration,66.21,330,46,76
Lake,4.05,6.21,4.56,8.94,3.57,5.76,3076,None,53.23,263,42,2
River,3.37,6.95,1.99,5.07,49.11,1.26,1944,Boiling,31.37,402,17,33
Spring,0.14,8.1,3.17,7.49,47.51,7.7,4235,Chlorination,33.04,207,34,76
River,1.53,8.27,4.3,3.36,42.61,7.33,3099,None,32.12,451,26,56
Pond,4.21,6.18,4.92,6.36,22.71,9.41,4357,Filtration,98.63,141,16,57
River,0.69,7.59,2.52,4.88,43.55,11.21,3829,None,38.01,21,10,95
River,5.11,7.71,2.28,5.67,11.04,19.85,4114,None,39.95,16,37,34
River,4.55,7.33,0.38,5.48,39.58,15.12,2584,None,63.89,362,36,20
River,7.67,7.67,0.06,3.42,9.26,0.72,1548,Chlorination,63.7,318,41,64
Lake,6.6,6.58,3.04,6.27,40.77,14.25,1488,Filtration,94.4,121,33,65
Spring,4.46,7.22,0.33,9.96,30.73,16.48,3659,Filtration,35.15,281,46,56
Pond,2.25,6.98,1.9,5.09,4.9,17.91,227,Boiling,97.01,226,31,41
River,7.27,6.22,0.02,8.15,44.77,8.48,4471,Boiling,45.15,419,42,42
River,7.08,7.56,3.08,6.83,28.9,6.27,4831,None,97.91,372,45,25
River,1.53,7.24,2.13,5.28,32.81,16.79,4352,Boiling,67.89,300,45,66
River,9.15,6.69,0.64,3.63,14.18,15.55,4928,Filtration,75.64,496,34,87
Well,0.64,7.18,1.48,4.51,43.58,10.72,4796,None,52.1,285,27,25
Well,0.55,7.94,2.85,8.47,27.26,2.36,698,Boiling,72.83,115,21,7
Tap,1.87,8,3.28,4.95,21.06,13.04,437,Chlorination,79.76,148,15,46
River,9.09,7.62,2.31,4.01,26.71,1.31,1684,Boiling,30.73,403,45,36
Tap,5.2,7.17,4.02,5.32,35.17,2.01,2153,Chlorination,32.4,169,41,71
Lake,7.88,7.44,0.56,7.09,34.75,6.62,4710,Boiling,99.05,89,39,81
Tap,2.28,6.96,0.42,7.92,17.88,7.42,2914,Filtration,62.03,118,11,17
Spring,4.9,6.32,0.22,5.71,19.26,9.24,3217,Boiling,95.51,183,4,75
Well,3.58,6.96,2.68,6.49,28.11,6.78,959,Chlorination,81.09,395,25,35
Well,8.28,7.33,3.53,6.18,46.22,0.68,1839,Chlorination,56.11,263,25,1
River,0.23,7.5,0.65,3.06,37.27,3.15,277,Boiling,40.56,226,12,83
River,2.44,8.34,3.19,5.77,19.52,2.3,4220,None,98.47,92,23,2
Lake,1.53,7.94,2.38,7.11,16.85,8.62,3756,Chlorination,70.91,116,43,33
Pond,8.59,6.38,4.94,6.99,26.18,4.24,1343,Filtration,43.46,489,2,45
Lake,4.68,6.44,3.59,8.25,43.5,5.87,4770,Boiling,77.72,446,31,61
Spring,4.04,6.25,3.29,7.69,0.43,9.43,714,Chlorination,36.44,311,22,69
River,4.49,7.85,2.85,4.94,35.52,4.71,1505,Boiling,90.76,390,48,56
River,9.72,7.77,4.99,4.79,14.73,4.92,3921,Boiling,36.31,317,36,9
Lake,8.5,8.47,4.9,6.25,10.42,16.66,2714,None,46.53,120,37,87
Lake,7.06,7.31,2.69,8.13,0.61,10.96,1347,Boiling,36.4,316,44,17
Lake,2.9,8.07,2.28,3.66,44.83,17.14,2442,Boiling,37.27,137,37,32
Well,1.65,7.44,2.31,9.64,45.61,10.29,4868,Boiling,66.67,230,12,6
Tap,9.21,8.19,2.14,6.8,3.07,18.19,3960,Filtration,78.09,305,14,44
Tap,4.23,7.8,2.66,5.14,26.09,5.09,1752,Boiling,85.19,147,1,28
River,2.79,7.61,1.37,7.85,7.63,12.33,2505,Filtration,78.65,283,10,82
Well,4.71,7.41,4.63,3.31,37.93,10.06,1737,Boiling,55.44,141,15,37
Lake,9.18,7.81,2.45,6.39,33.27,18.37,4169,None,69.01,331,17,38
River,3.87,7.05,4.21,6.4,14.86,8.37,1108,None,94.94,7,33,24
Well,5.63,6.24,2.38,4.13,5.85,17.1,2679,Chlorination,57.13,390,9,16
Spring,8.03,6.1,3.59,8.86,41.56,11.28,1037,Boiling,47.67,4,12,60
Pond,4.27,7.2,1.68,8.58,33.71,14.17,911,None,66.35,256,31,50
Well,2.34,7.5,3.12,4.07,0.34,17.74,4889,None,50.81,366,7,36
River,9.95,6.2,2.49,5.55,31.39,19.94,2096,Boiling,48.33,328,6,66
Tap,9.57,6.72,1.84,3.7,40.51,14.62,3013,Chlorination,84.52,491,47,23
Lake,8.43,6.81,4.41,8.94,29.54,6.29,358,Filtration,92.36,245,16,81
Pond,6.88,7.41,0.56,5.26,21.24,5.98,1076,None,65.16,465,40,48
Spring,2.95,6.7,2.43,6.08,29.2,6.18,2103,None,84.58,234,26,89
Pond,9.13,6.24,0.97,5.27,30.99,1.96,4974,Filtration,43.1,361,7,20
Pond,2.76,6.41,4.31,5.17,32,1.07,3527,None,68.34,9,28,74
Well,8.01,6.43,1.27,8.23,48.35,11.62,2302,Filtration,74.53,241,36,56
River,9.18,8.11,3.17,8.23,8.93,16.21,4100,Filtration,64.35,441,26,40
River,6.03,6.71,0.83,6.62,31.15,0.72,1604,Chlorination,38.18,320,36,16
Pond,8.03,7.79,2.02,7.6,9.4,11.33,1075,Filtration,81.39,187,23,20
Lake,7.92,7.42,4.5,6.58,10.5,7.44,4048,Filtration,88.74,403,44,67
River,1.93,8.44,0.83,3.2,33.46,17.85,328,Filtration,74.47,313,15,95
Pond,6.68,6.68,3.32,3.46,45.8,2.91,3232,Filtration,41.84,426,25,81
River,0.93,6.4,1.02,5.69,7.95,11.27,3477,None,35.22,412,30,63
Lake,5.08,6.13,2.08,8.25,48.12,19.42,1002,Filtration,51.11,1,26,43
Spring,1.62,6.6,2.7,9.39,15.97,6.9,4878,None,32.59,153,25,27
Pond,4.16,7.71,2.89,3.21,19.57,14.84,576,Boiling,88.75,202,42,35
Tap,8.33,6.21,3.01,5.58,7.68,17.65,326,Boiling,79.21,216,14,36
Tap,9.87,6.61,3.2,4.57,30.79,3.72,1527,Filtration,69.46,481,48,43
Pond,3.18,8.14,1.36,8.71,29.82,19.85,2821,Chlorination,92.27,314,14,49
Well,5.32,7.46,2.01,8.92,22.11,16.19,1465,Chlorination,37.71,104,22,89
Spring,5.11,6.17,0.19,4.44,23.8,2.75,3225,None,80.01,0,24,54
Well,9.54,6.12,3.84,7.98,31.15,6.22,2281,None,40.26,253,43,87
Tap,4.79,6.15,4.19,8.12,29.17,12.5,4747,Boiling,34.26,286,3,9
Lake,6.99,8.35,1,4.24,18.71,17.7,2380,None,39.3,293,35,37
Pond,9.22,8.12,1.01,6.04,44.21,3.9,494,Chlorination,96.57,277,15,48
River,3.73,8.11,0.21,7.34,33.38,14.62,1138,Boiling,60.83,193,46,71
Tap,9.02,8.31,4.85,3.18,10.27,5.41,2416,Filtration,33.43,430,39,1
Spring,9.17,7.26,4.04,5.83,16,16.11,1356,None,70.85,256,20,43
Tap,9.31,6.62,1.8,4.08,39.39,13.67,1153,Filtration,43.98,249,39,34
Spring,2.7,7,2.41,6.79,5.23,10.46,3249,None,30.48,247,42,20
Spring,4,7.8,1.46,8.9,37.51,13,2142,Chlorination,83.09,87,16,56
Pond,8.7,8.19,2.99,6.67,17.94,17.53,3388,None,40.84,433,2,90
Spring,3.59,7.09,3.59,3.25,27.58,7.73,1124,Chlorination,95.97,419,6,22
Well,6,7.34,2.24,3.21,14.03,15.39,801,Chlorination,71.5,252,11,31
Lake,1.18,8.33,4.37,7.24,49.32,3.18,2042,Filtration,36.09,428,0,89
Tap,0.56,6.27,2.59,5.3,45.29,14.02,207,None,45.25,163,42,70
Lake,4.12,8.16,0.72,7.01,46.42,15.01,2654,Filtration,72.76,494,36,32
River,5.79,6.4,3.11,4.15,9.24,8.86,472,Chlorination,53.67,161,5,16
Tap,3.93,7.21,2.31,8.44,42.08,15.87,1638,Chlorination,67.25,264,45,71
Lake,5.78,6.55,4.68,9.03,26.77,11.14,135,Chlorination,85.97,459,48,41
Lake,5.15,7.51,1.96,9.22,35.39,18.73,4356,Chlorination,85.48,109,22,16
Pond,6.86,7.4,2.01,5.13,10.88,2.25,1170,Boiling,78.86,339,24,47
Pond,6.5,6.95,3.25,7.63,35.6,2.62,457,Chlorination,92.02,387,24,47
River,4.24,8.16,2.63,4.95,45.71,16.85,1436,None,43.96,206,2,81
Spring,4.25,7.65,1.87,8.34,13.37,16.85,3571,Chlorination,42.41,318,3,99
Tap,1.41,7.8,4.95,3.84,11.67,9.42,2148,Boiling,85.95,131,29,56
Pond,5.13,6.38,1.51,8.34,5.22,19.28,4242,None,52.46,132,32,60
Tap,5.87,8.21,1.39,6.08,13.34,13.59,4812,Boiling,65.85,393,28,43
River,4.76,6.42,4.32,8.99,26.79,19.66,506,Boiling,82.08,107,3,22
Pond,3.26,6.56,0.02,8.17,41.64,10.65,2605,None,57.72,171,13,75
Pond,7.22,6.32,1.01,5.64,13.94,4.03,2383,Boiling,39.11,39,20,86
Spring,0.75,7.1,2.95,9.32,31.06,8.89,445,Chlorination,77.56,291,6,52
Tap,9.14,8.22,0.81,4.98,23.98,19.61,2781,Filtration,87.2,34,20,32
Tap,0.21,6.63,4.93,9.77,14.43,7.41,443,Filtration,30.9,58,6,55
Tap,9.62,6.93,2.32,8.37,25.52,19.14,117,Filtration,69.38,192,0,27
Spring,4.62,8.12,2.99,9.93,8.4,15.94,1540,None,62.86,209,33,22
Pond,4.13,7.54,0.8,3.38,31.98,8.84,2770,None,48.17,371,22,62
River,2.56,7.88,1.45,4.92,5.78,10.84,566,None,41.27,30,2,6
Tap,0.1,6.54,3.07,8.19,36.55,12.15,3602,Filtration,43.16,173,17,1
Lake,2.75,7.79,2.75,9.46,8.89,13.32,1936,Filtration,80.75,304,42,64
Spring,1.09,6.57,3.92,3.2,49.91,1.53,4183,None,67.53,389,11,3
Well,6.6,8.47,1.35,3,41.18,18.67,1652,Filtration,98.68,197,13,7
River,3.19,7.4,3.27,4.79,17.19,11.94,4571,Boiling,47.03,105,40,48
Lake,7.67,7.74,1.45,8.97,21.31,18.62,4390,Boiling,96.98,274,27,28
Tap,2.07,6.3,2.93,8.37,12.96,12.64,4815,Filtration,66.06,95,41,81
Well,9,6.63,3.03,5.38,38.36,8.62,4781,None,40.22,169,44,54
River,5.23,6.35,0.61,3.01,19.04,11.34,2686,Chlorination,40.37,29,23,36
Spring,1.15,6.98,2.74,6.88,37.76,16.59,1203,Chlorination,72.6,281,23,94
Well,4.01,6.71,0.06,4.67,0.92,6.52,2937,Filtration,88.2,386,2,5
Pond,2.07,7.83,2.51,8.22,6.78,19.13,405,Chlorination,82.34,160,8,23
Well,2,6.27,3.49,6.12,18.25,9.32,3907,None,75.89,305,23,78
Lake,5.06,7.88,0.36,7.75,5.45,19.12,4214,Boiling,42.05,414,1,39
River,6.72,6.11,4.69,8.97,30.06,17.62,4079,Boiling,37.58,110,39,11
Lake,9.12,6.51,2.29,6.75,2.54,15.35,312,None,30.02,211,27,63
Lake,5.02,7.98,4.69,5.35,42.99,9.35,162,Chlorination,37.13,195,6,45
Tap,9.66,7.86,0.54,8.39,38.07,11.74,1528,Filtration,83.65,95,8,13
Spring,9.42,7.19,4.75,4.86,10.81,16.76,4388,Boiling,92.67,337,44,26
Well,8.65,6.12,0.55,9.24,24.19,10.88,4785,Chlorination,46.82,137,38,36
River,5,7.52,2.31,3.5,22.59,14.76,1565,Chlorination,85.64,277,38,76
Pond,1.41,7.02,4.69,8.85,36.24,15.81,4768,Boiling,43.92,446,32,61
Spring,2.18,6.79,1.16,3.64,20.08,10.26,398,Boiling,47.45,309,33,66
Spring,6.48,7.6,0.17,3.39,1.65,10.72,3586,Filtration,45.69,178,20,79
River,4.22,7.09,3.97,5.54,13.69,3.96,1047,None,33.62,336,28,75
Spring,1.47,6.23,2.98,9.7,23.31,4.89,1942,Chlorination,43.58,233,26,13
Tap,4.79,8.29,2.57,9.88,48.72,18.1,3130,Filtration,56.15,248,16,97
Spring,0.17,7.95,0.17,4.41,44.06,16.81,2796,Boiling,58.38,131,41,94
